Memsweep time in seconds: 6.924

Memsweep time in seconds: 7.213

Memsweep time in seconds: 7.138

Memsweep time in seconds: 8.151

Memsweep time in seconds: 7.207

Memsweep time in seconds: 7.503

Memsweep time in seconds: 7.642

Memsweep time in seconds: 7.728

Memsweep time in seconds: 7.498

Memsweep time in seconds: 7.580

Memsweep time in seconds: 7.535

Memsweep time in seconds: 7.729

Memsweep time in seconds: 7.595

Memsweep time in seconds: 7.634

Memsweep time in seconds: 7.651

Memsweep time in seconds: 7.590

Memsweep time in seconds: 7.539

Memsweep time in seconds: 7.749

Memsweep time in seconds: 7.443

Memsweep time in seconds: 7.703

Memsweep time in seconds: 7.698

Memsweep time in seconds: 7.750

Memsweep time in seconds: 7.718

Memsweep time in seconds: 7.685

Memsweep time in seconds: 7.563

Memsweep time in seconds: 7.723

Memsweep time in seconds: 7.821

Memsweep time in seconds: 7.907

Memsweep time in seconds: 7.564

Memsweep time in seconds: 7.725

Memsweep time in seconds: 7.775

Memsweep time in seconds: 7.823

Memsweep time in seconds: 7.937

Memsweep time in seconds: 7.666

